sourcename edu city usertype bin rbin tengxun umeng jd max_creditcard max_otherloan salary boapp tongdun zx_query ovd_msg overdue_zx num qudao_type channel_category
搜狗SEM-MB大额 1.15113122171946 -0.0760180995475113 2.32941176470588 0.630769230769231 2.0625 1.67633726201269 1.71690427698574 2.14864864864865 1.63311688311688 1.14935064935065 1.70769230769231 3.29773755656109 3.2616555661275 2.43506493506493 0.211764705882353 2.36688311688312 1105 M M站信息流
资产大额M站51信用卡 1.1605504587156 0.11697247706422 2.16743119266055 1.59174311926605 3.5 2.06651376146789 2.60615384615385 2.36619718309859 3.36764705882353 2.42156862745098 1.71788990825688 3.52522935779817 3.03002309468822 2.06862745098039 -0.295871559633028 3.00980392156863 436 M M站贷超
资产大额M站爱贷 1.07887323943662 0.028169014084507 2.55492957746479 1.25352112676056 1 1.89014084507042 2.20647773279352 2.16267942583732 2.90445859872611 2.10828025477707 1.71267605633803 3.40845070422535 2.87818696883853 1.9171974522293 -0.154929577464789 2.82802547770701 355 M M站其他类型渠道
资产大额M站白烛金融1 1.07481296758105 0.0149625935162095 2.60099750623441 1.25187032418953 3.66666666666667 1.84788029925187 2.12680115273775 2.29381443298969 2.91428571428571 2.18285714285714 1.56109725685786 3.59351620947631 3.00755667506297 1.86285714285714 -0.286783042394015 2.60571428571429 401 M M站其他类型渠道
资产大额M站分销联盟 1.1420814479638 -0.00769230769230769 2.44343891402715 1.04027149321267 1.73333333333333 1.89221014492754 2.08401221995927 2.22426470588235 2.51682692307692 1.71394230769231 1.65610859728507 3.51764705882353 3.04377880184332 2.14182692307692 -0.200904977375566 2.71514423076923 2210 M M站分销联盟
资产大额M站杭州挖财 1.06493506493506 -0.051948051948052 2.28571428571429 1.22077922077922 1 1.96103896103896 2.18181818181818 2.28947368421053 2.52777777777778 2.08333333333333 1.5974025974026 3.22077922077922 2.96052631578947 2.22222222222222 0.272727272727273 3 77 M M站其他类型渠道
资产大额M站九格 1.16068376068376 -0.12991452991453 2.18632478632479 0.938461538461538 3.5 1.77094017094017 2.04752475247525 2.13333333333333 2.36813186813187 2.06593406593407 1.76752136752137 3.22905982905983 3.2595818815331 2.49450549450549 0.162393162393162 2.67032967032967 585 M M站信息流
资产大额M站卡牛 1.24845679012346 0.131944444444444 2.16049382716049 1.42746913580247 2.46153846153846 2.10403726708075 2.41815097540288 2.42176870748299 3.28721541155867 2.17338003502627 1.75308641975309 3.54166666666667 2.92408985282727 2.03327495621716 -0.25 2.92994746059545 1296 M M站其他类型渠道
资产大额M站猎豹金融 1.17910447761194 -0.238805970149254 2.11940298507463 0.985074626865672 1 2.13432835820896 2.33333333333333 2.13157894736842 2.96428571428571 2.10714285714286 1.77611940298507 3.13432835820896 3.13432835820896 2.07142857142857 0.194029850746269 3.57142857142857 67 M M站信息流
资产大额M站秒到科技 1.07142857142857 0.214285714285714 3.32857142857143 1.35714285714286 0 1.78571428571429 2.25806451612903 2.25 2.28571428571429 0.942857142857143 1.48571428571429 3.77142857142857 3.53731343283582 2 -0.442857142857143 2.6 70 M M站贷超
资产大额M站瑞萨斯 1.10202492211838 0.130841121495327 2.57632398753894 1.0506230529595 3.22222222222222 1.85436137071651 2.04651162790698 2.23723723723724 2.68641114982578 1.93554006968641 1.75467289719626 3.5 3.11984126984127 1.98257839721254 -0.16588785046729 2.68989547038328 1284 M M站其他类型渠道
资产大额M站闪电公积金 1.5273631840796 0.0248756218905473 2.07960199004975 1.11442786069652 3.5 1.99004975124378 2.43406593406593 2.1984126984127 3.02439024390244 2.74390243902439 2.7363184079602 3.14427860696517 2.77777777777778 2.07317073170732 0.27363184079602 2.82926829268293 201 M M站其他类型渠道
资产大额M站省呗2 1.16197183098592 0.0352112676056338 1.88028169014085 1.17605633802817 1.8 2.03521126760563 2.27480916030534 2.47619047619048 2.12962962962963 1.44444444444444 1.61267605633803 3.24647887323944 3.02836879432624 2.01851851851852 0.147887323943662 2.72222222222222 142 M M站贷超
资产大额贷服务号 1.23054474708171 -0.0340466926070039 1.6318093385214 1.27772373540856 2.5 1.98830979055041 2.28104925053533 2.25181598062954 2.60789844851904 1.89421720733427 1.64931906614786 2.75486381322957 3.1448275862069 2.20874471086037 0.969357976653696 2.83497884344147 2056 M M站其他类型渠道
资产大额顶效M站 1.06170598911071 0.442831215970962 2.67695099818512 0.618874773139746 1 1.69090909090909 2.01402805611222 2.10169491525424 1.05681818181818 0.698863636363636 1.57350272232305 3.54083484573503 3.39522058823529 2.25 -0.166969147005445 2.15340909090909 551 M M站信息流
