sourcename sourcetype first_login_usertype qudao_type channel_category credit_bin firstchuo edu chuomode message_count_default boappnum biglinetype usertype jdcredit_score umeng_score risk_score pretax final_score td_3m td_1m cmax omax vcard rph rpo rpc query1m hoverdue2y ooverdue2y coverdue2y repaybin citylevel_bin
广点通 app 成交 APP APP信息流 9 2018-08-02 4无学历 wb 2 41 APP 2成交 643.56 619 45 missing 39 0 0 NA NA NA NA NA NA NA NA NA NA 5 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 14 2018-08-10 4无学历 wb 1 12 APP 2发标未成交 593.78 381 55 0-02k 51 0 0 NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 6 2018-07-17 3专科 tb 0 12 APP 2发标未成交 598.79 499 50 02k-05k 29 7 5 NA NA NA NA NA NA NA NA NA NA 1 5线
资产大额秋成科技 app 纯新 APP APP贷超 3 2018-08-01 4无学历 gjj 0 33 APP 5纯新 632.68 487 29 08k-15k 34 0 0 NA NA NA NA NA NA NA NA NA NA 3 2线
神马SEM大额 app 发标未成交 APP APP信息流 1 2018-08-12 3专科 wb 1 4 APP 2发标未成交 642.51 760 68 0-02k 41 6 2 NA NA NA NA NA NA NA NA NA NA 1 3线
百融白名单 app 成交 APP APP贷超 12 2018-08-02 3专科 wb -1 0 APP 2成交 541.81 662 61 0-0 90 0 20 NA NA NA NA NA NA NA NA NA NA 2 4线
百融白名单 app 发标未成交 APP APP贷超 2 2018-07-31 4无学历 wb 19 9 APP 2发标未成交 635.27 725 63 missing 56 0 8 NA NA NA NA NA NA NA NA NA NA 3 6线及以下
大额优借 app 发标未成交 APP APP贷超 7 2018-08-04 3专科 wb 0 5 APP 2发标未成交 645.01 467 79 02k-05k 23 0 0 NA NA NA NA NA NA NA NA NA NA 2 5线
神马SEM大额 app 发标未成交 APP APP信息流 5 2018-08-02 4无学历 gjj 0 1 APP 2发标未成交 NA 620 57 missing 3 0 0 -1 -1 -1 -1 NA NA -1 0 0 -1 2 5线
百融白名单 app 发标未成交 APP APP贷超 12 2018-07-31 2本科 bb 1 7 APP 2发标未成交 626.58 588 61 02k-05k 74 0 0 NA NA NA NA NA NA NA NA NA NA 2 3线
大额广点通 app 发标未成交 APP APP信息流 1 2018-07-25 4无学历 wb 0 1 APP 2发标未成交 640.24 794 43 05k-08k 29 0 2 80000 50000 23 1330.8696969697 7698 51233 3 0 0 0 1 1线
神马SEM大额 app 发标未成交 APP APP信息流 13 2018-07-25 4无学历 bb_m 0 3 M站 2发标未成交 652.32 465 52 missing 21 1 0 NA NA NA NA NA NA NA NA NA NA 1 3线
今日头条大额 app 发标未成交 APP APP信息流 -1 2018-07-27 4无学历 xiaoe_m -1 0 M站 2发标未成交 647.17 604 70 08k-15k 35 0 0 NA NA NA NA NA NA NA NA NA NA 4 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 6 2018-07-19 4无学历 wb 0 2 APP 2发标未成交 640.84 705 54 02k-05k 66 0 0 NA NA NA NA NA NA NA NA NA NA 2 4线
