sourcename sourcefeature sourcetype userid first_login_time first_login_usertype chuo_status first_chuo_bin youe_status fb_status cj_status allcj_status
亿玛dsp app_feature=dae133_1052 app 47124821 2018-06-11 戳额无额度 1 5 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 5265743 2018-06-21 发标未成交 1 7 0 0 0 1
亿玛dsp app_feature=dae134_1052 app 27764236 2018-06-19 发标未成交 1 13 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 86129604 2018-06-23 纯新 1 8 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb01 app 9038892 2018-06-13 发标未成交 1 12 0 0 0 0
广点通 app_feature=dae182_1052 app 18149615 2018-06-17 发标未成交 1 10 0 0 0 1
资产大额淘钱宝三 regsourceid=dae098 app 22309608 2018-06-14 戳额无额度 1 12 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 71455817 2018-06-06 戳额无额度 1 19 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 85230765 2018-06-13 纯新 1 13 0 0 0 0
亿玛dsp regsourceid=dae123 app 7189162 2018-06-22 发标未成交 1 6 0 0 0 0
广点通 app_feature=dae183_1052 app 41059311 2018-06-18 发标未成交 1 15 0 0 0 0
运营短信营销 regsourceid=dae112 app 74966291 2018-06-13 有额未发标 1 11 0 0 0 1
亿玛dsp regsourceid=dae126 app 85665851 2018-06-18 纯新 1 1 1 0 0 0
广点通 regsourceid=dae016 app 78781057 2018-06-03 发标未成交 1 1 0 0 0 1
百度SEM-MB大额 regsourceid=daebaidumb M 30193966 2018-06-21 发标未成交 1 4 1 1 0 0
广点通 regsourceid=dae016 app 63887051 2018-06-01 成交 1 9 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 16389231 2018-05-12 发标未成交 1 6 0 0 0 0
广点通 regsourceid=dae016 app 25168807 2018-05-31 发标未成交 1 17 0 0 0 0
广点通 app_feature=dae181_1052 app 25940630 2018-05-13 发标未成交 1 5 0 0 0 0
陌陌大额59 regsourceid=dae294 app 19680806 2018-06-16 纯新 1 2 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 18553723 2018-06-08 发标未成交 1 1 1 1 1 1
百度SEM-MB大额 regsourceid=daebaidumb M 41584338 2018-05-20 纯新 1 3 0 0 0 1
运营短信营销 regsourceid=dae112 app 71765358 2018-06-04 有额未发标 1 1 1 1 1 1
广点通 regsourceid=dae047 app 37795823 2018-05-19 发标未成交 1 16 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 20762608 2018-05-19 发标未成交 1 2 1 1 1 1
今日头条大额 regsourceid=dae256 app 80981154 2018-06-16 发标未成交 1 1 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 77893552 2018-06-11 发标未成交 1 12 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 74398626 2018-06-14 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae044 app 26274457 2018-06-21 发标未成交 1 1 0 0 0 0
广点通 regsourceid=dae046 app 83955050 2018-05-27 纯新 1 8 0 0 0 0
广点通 regsourceid=dae012 app 8234715 2018-06-14 发标未成交 1 2 0 0 0 0
资产大额M站闪电公积金 regsourceid=zcdaeshandiangongjijin M 9728148 2018-06-01 发标未成交 1 19 0 0 0 0
广点通 regsourceid=dae016 app 15607919 2018-06-04 发标未成交 1 6 0 0 0 0
广点通 regsourceid=dae046 app 58535445 2018-06-02 发标未成交 1 2 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 44680259 2018-05-16 戳额无额度 1 14 0 0 0 0
亿玛dsp app_feature=dae136_1052 app 6346267 2018-06-17 发标未成交 1 15 0 0 0 0
广点通 regsourceid=dae046 app 83783043 2018-06-04 纯新 1 14 0 0 0 0
陌陌大额59 regsourceid=dae294 app 6914318 2018-06-18 发标未成交 1 18 0 0 0 0
广点通 regsourceid=dae016 app 9881538 2018-06-06 发标未成交 1 14 0 0 0 0
广点通 regsourceid=dae016 app 8932910 2018-05-28 发标未成交 1 7 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 23689779 2018-05-29 发标未成交 1 10 0 0 0 1
百度SEM-MB大额 regsourceid=daebaidumb M 38472553 2018-06-17 发标未成交 1 3 0 0 0 0
广点通 regsourceid=dae016 app 79605162 2018-05-17 发标未成交 1 1 0 0 0 0
